Title,Duration,Budget,Reviews_by_Users,IMDB_Score,Gross_Earnings
Bathory: Countess of Blood,141,15000000,32,6,7005528
The Chumscrubber,108,6800000,129,7,49526
Lonesome Jim,91,500000,53,6.6,154077
Dolphins and Whales 3D: Tribes of the Ocean,42,6000000,5,6.5,7518876
Funny Games,111,15000000,436,6.5,1294640
The Wash,93,4000000,38,4.6,10097096
Save the Last Dance,112,13000000,320,6.1,91038276
Married Life,91,12000000,50,6.3,1506998
G.I. Joe: The Rise of Cobra,118,175000000,534,5.8,150167630
8 Women,111,8000000,162,7.1,3076425
Spy Kids,88,35000000,205,5.4,112692062
Divine Secrets of the Ya-Ya Sisterhood,116,27000000,199,6,69586544
The Fourth Kind,98,10000000,330,5.9,25464480
The Night Listener,81,4000000,156,5.9,7825820
Brokeback Mountain,134,14000000,2254,7.7,83025853
Juwanna Mann,91,15600000,40,4.5,13571817
Pineapple Express,117,27000000,374,7,87341380
The Break-Up,106,52000000,483,5.8,118683135
25th Hour,108,15000000,454,7.7,13060843
Elektra,100,43000000,380,4.8,24407944
The Damned United,98,10000000,75,7.6,449558
Drag Me to Hell,99,30000000,691,6.6,42057340
Million Dollar Baby,132,30000000,1106,8.1,100422786
Darkness,103,10600000,349,5.4,22160085
The Business of Fancydancing,103,200000,14,6.9,174682
K-PAX,120,48000000,537,7.4,50173190
Where the Heart Is,120,15000000,240,6.8,33771174
An Education,100,4500000,237,7.3,12574715
Disturbia,105,20000000,491,6.9,80050171
The Love Guru,87,62000000,250,3.8,32178777
102 Dalmatians,100,85000000,77,4.8,66941559
Guiana 1838,120,1000000,2,7.4,227241
Godsend,102,25000000,191,4.8,14334645
New York Minute,91,30000000,111,4.8,14018364
Why Did I Get Married?,113,15000000,100,5.6,55184721
Everybody's Fine,99,21000000,117,7.2,8855646
Scary Movie 4,89,45000000,410,5.1,90703745
Bella,91,3300000,174,7.4,8108247
War of the Worlds,116,132000000,2741,6.5,234277056
I Am Legend,104,150000000,1413,7.2,256386216
How to Deal,101,16000000,95,5.7,14108518
The Specials,82,1000000,54,6,12996
Larry the Cable Guy: Health Inspector,89,4000000,112,3.1,15655665
Solitary Man,90,15000000,60,6.4,4360548
Behind Enemy Lines,106,40000000,411,6.4,59068786
The Believer,98,1500000,159,7.2,406035
Eden Lake,91,2000000,357,6.8,5824
Bloody Sunday,107,2000000,120,7.7,768045
Duma,100,12000000,43,7.3,860002
The Dead Girl,93,3300000,73,6.7,17311
Spider-Man 2,135,200000000,1303,7.3,373377893
Ghosts of Mars,98,28000000,460,4.9,8434601
Jindabyne,118,15000000,115,6.4,399879
Wendy and Lucy,80,200000,112,7.1,856942
The Skeleton Key,104,43000000,371,6.5,47806295
Lakeview Terrace,110,22000000,135,6.1,39263506
Boynton Beach Club,105,1500000,27,6.5,3123749
Gerry,103,3500000,290,6.2,236266
Billy Elliot,110,5000000,433,7.7,21994911
My Big Fat Independent Movie,80,3000000,24,3.3,12155249
The Happening,91,48000000,1264,5,64505912
The Informers,98,18000000,93,5.1,382174
White Oleander,109,16000000,171,7.2,16346122
Brooklyn Rules,99,8000000,48,6.4,398420
Bad Boys II,147,130000000,511,6.6,138396624
Hamlet 2,92,9000000,76,6.4,4881867
The Flower of Evil,104,6000000,36,6.6,181798
Halloween II,119,15000000,491,4.9,33386128
Bronson,92,230000,145,7.1,104792
Rugrats Go Wild,80,25000000,35,5.6,39399750
How to Lose a Guy in 10 Days,116,50000000,357,6.4,105807520
American Gangster,176,100000000,458,7.8,130127620
Scoop,96,4000000,248,6.7,10515579
The Art of War,116,40000000,167,5.7,30199105
Wild Hogs,100,60000000,255,5.9,168213584
Chasing Liberty,101,23000000,129,6.1,12189514
"Lovely, Still",90,5000000,15,7.3,124720
All the Pretty Horses,220,57000000,183,5.8,15527125
The Proposal,108,40000000,273,6.7,163947053
Forgetting Sarah Marshall,118,30000000,325,7.2,62877175
The White Countess,135,16000000,78,6.7,1666262
The Astronaut Farmer,104,13000000,128,6.3,10996440
Sleepover,89,10000000,75,5.3,8070311
Racing Stripes,102,30000000,86,5.2,49186871
A History of Violence,96,32000000,1125,7.5,31493782
17 Again,102,20000000,185,6.4,64149837
Cloverfield,85,25000000,2192,7,80034302
Harry Potter and the Goblet of Fire,157,150000000,1896,7.6,289994397
The Curious Case of Benjamin Button,166,150000000,822,7.8,127490802
The X Files: I Want to Believe,108,30000000,492,5.9,20981633
Hatchet,93,1500000,235,5.7,240396
High Fidelity,113,20000000,602,7.6,27277055
Pulse,90,20000000,258,4.7,20259297
The Time Machine,96,80000000,615,5.9,56684819
Downfall,178,13500000,564,8.3,5501940
Hard Candy,104,950000,651,7.1,1007962
Marie Antoinette,123,40000000,619,6.4,15962471
The Work and the Glory,118,7500000,33,6.9,3347439
Hanging Up,94,60000000,130,4.7,36037909
The Sisterhood of the Traveling Pants 2,119,27000000,33,6.2,44087387
Freedom Writers,123,21000000,235,7.5,36581633
The Imaginarium of Doctor Parnassus,123,40000000,210,6.8,7689458
Bridget Jones's Diary,97,26000000,571,6.7,71500556
High School Musical 3: Senior Year,112,11000000,171,4.5,90556401
The Assassination of Jesse James by the Coward Robert Ford,160,30000000,415,7.5,3904982
The Haunted Mansion,88,90000000,179,4.9,75817994
The Core,135,60000000,466,5.4,31111260
Bandits,123,80000000,261,6.6,41523271
Shrek,90,60000000,945,7.9,267652016
I Can Do Bad All by Myself,113,13000000,59,4.1,51697449
A Scanner Darkly,100,8700000,293,7.1,5480996
The Royal Tenenbaums,110,21000000,962,7.6,52353636
A Home at the End of the World,97,6500000,135,6.8,1029017
From Justin to Kelly,90,12000000,304,2.1,4922166
X-Men,104,75000000,1401,7.4,157299717
Royal Kill,90,350000,18,3.2,50090
30 Days of Night,113,32000000,527,6.6,39568996
Ghost Rider,123,110000000,681,5.2,115802596
The Pink Panther,93,65000000,424,5.6,82226474
Wanted,110,75000000,713,6.7,134568845
Nowhere in Africa,141,7000000,84,7.7,6173485
Hostel: Part II,94,10000000,384,5.4,17544812
Freeze Frame,99,2000000,41,6.4,39663
The Broken Hearts Club: A Romantic Comedy,94,1000000,120,7,1744858
The Whole Nine Yards,98,24000000,318,6.7,57262492
Certifiably Jonathan,85,1200000,2,6.2,7826
Before Sunset,80,2700000,492,8,5792822
Pitch Black,112,23000000,805,7.1,39235088
Yes Man,104,70000000,243,6.8,97680195
Hidalgo,136,100000000,345,6.7,67286731
Mambo Italiano,92,5000000,67,6.7,6239558
Adventureland,107,9800000,220,6.8,16025394
The Brothers Grimm,118,88000000,492,5.9,37899638
EuroTrip,93,25000000,316,6.6,17718223
Big Fish,125,70000000,816,8,66257002
Trucker,90,2000000,22,6.7,52166
Atlantis: The Lost Empire,95,120000000,289,6.8,84037039
Soul Men,100,40000000,25,6.5,12081447
Ballistic: Ecks vs. Sever,91,70000000,277,3.6,14294842
The Express,130,40000000,45,7.3,9589875
A Serious Man,106,7000000,324,7,9190525
Christmas with the Kranks,99,60000000,209,5.2,73701902
Catch That Kid,91,18000000,49,5.2,16702864
Being Julia,104,18000000,112,7.1,7739049
Crazy Heart,112,7000000,226,7.3,39462438
Where the Wild Things Are,101,100000000,388,6.8,77222184
Red Planet,106,70000000,348,5.7,17473245
Sweet Home Alabama,108,38000000,392,6.1,127214072
Torque,84,40000000,207,4,21176322
Night at the Museum: Battle of the Smithsonian,105,150000000,209,5.9,177243721
Swimming Pool,102,7800000,288,6.8,10105505
Funny Ha Ha,85,30000,61,6.4,88078
An Inconvenient Truth,96,1500000,504,7.5,23808111
The Oxford Murders,104,10000000,94,6.1,3607
Home on the Range,76,110000000,88,5.4,50026353
Team America: World Police,98,30000000,700,7.2,32774834
Owning Mahowny,104,10000000,83,7.2,1011054
Dirty Pretty Things,97,10000000,203,7.4,8111360
Purple Violets,103,4000000,19,6.6,126897
The Aviator,170,110000000,799,7.5,102608827
Sinbad: Legend of the Seven Seas,85,60000000,91,6.7,26288320
Dragon Wars: D-War,107,35000000,364,3.6,10956379
Cats & Dogs,87,60000000,235,5.2,93375151
Body of Lies,128,70000000,263,7.1,39380442
Black Christmas,94,9000000,278,4.5,16235293
Me and You and Everyone We Know,91,2000000,243,7.4,3885134
The Replacements,118,50000000,261,6.5,44737059
Stuck on You,118,55000000,154,5.8,33828318
Life During Wartime,98,4500000,37,6.5,278821
The Italian Job,111,60000000,497,7,106126012
Baghead,84,200000,40,6,140016
