Title,Duration,Budget,Reviews_by_Users,IMDB_Score,Gross_Earnings
Never Again,98,500000,34,6,295468
Not Another Teen Movie,99,16000000,393,5.7,37882551
Novocaine,95,6000000,105,5.8,2025238
Nowhere in Africa,141,7000000,84,7.7,6173485
O,95,5000000,153,6.2,16017403
Ocean's Eleven,116,85000000,845,7.8,183405771
On the Line,85,16000000,79,4.1,4356743
Original Sin,118,42000000,181,6,16252765
Osmosis Jones,95,70000000,123,6.2,13596911
Out Cold,89,11000000,90,6.3,13903262
Pearl Harbor,184,140000000,1999,6.1,198539855
Planet of the Apes,119,100000000,1368,5.7,180011740
Pootie Tang,81,3000000,131,5.2,3293258
Rat Race,112,48000000,497,6.4,56607223
Recess: School's Out,82,23000000,38,6.5,36696761
Riding in Cars with Boys,132,48000000,210,6.4,29781453
Rock Star,105,57000000,191,6.2,16991902
Rush Hour 2,90,90000000,394,6.6,226138454
Save the Last Dance,112,13000000,320,6.1,91038276
Saving Silverman,96,22000000,201,5.9,19351569
Say It Isn't So,95,25000000,91,4.9,5516708
Scary Movie 2,83,45000000,548,5.2,71277420
See Spot Run,94,35000000,53,5.4,33357476
Serendipity,82,28000000,374,6.9,49968653
Session 9,100,1500000,481,6.5,373967
Shallow Hal,114,40000000,426,5.9,70836296
Shrek,90,60000000,945,7.9,267652016
Someone Like You...,97,23000000,167,6.1,27338033
Soul Survivors,84,14000000,181,3.9,3100650
Spy Game,114,92000000,361,7,26871
Spy Kids,88,35000000,205,5.4,112692062
Summer Catch,108,34000000,107,4.9,19693891
Super Troopers,100,1200000,333,7.1,18488314
Sweet November,119,40000000,274,6.7,25178165
Swordfish,99,80000000,543,6.5,69772969
Texas Rangers,110,38000000,67,5.2,623374
The Animal,84,22000000,132,4.8,55762229
The Believer,98,1500000,159,7.2,406035
The Brothers,106,6000000,43,6.3,27457409
The Business of Strangers,84,6000000,78,6.4,1028337
The Caveman's Valentine,105,13500000,59,6,687081
The Curse of the Jade Scorpion,103,26000000,178,6.8,7496522
The Fast and the Furious,106,38000000,988,6.7,144512310
The Forsaken,90,5000000,131,5.3,6755271
The Glass House,106,30000000,200,5.8,17951431
The Jimmy Show,96,1500000,21,5.4,703
The Last Castle,131,60000000,281,6.9,18208078
The Lord of the Rings: The Fellowship of the Ring,171,93000000,5060,8.8,313837577
The Lost Skeleton of Cadavra,90,40000,118,7,110536
The Majestic,152,72000000,376,6.9,27796042
The Mexican,123,34000000,344,6.1,66808615
The Mummy Returns,130,98000000,890,6.3,202007640
The Musketeer,104,40000000,291,4.7,27053815
The One,85,49000000,294,5.9,43905746
The Other Side of Heaven,113,7000000,85,6.5,4720371
The Others,101,17000000,1109,7.6,96471845
The Pledge,124,45000000,531,6.8,19719930
The Princess Diaries,111,37000000,301,6.2,108244774
The Royal Tenenbaums,110,21000000,962,7.6,52353636
The Score,124,68000000,445,6.8,71069884
The Shipping News,111,35000000,208,6.8,11405825
The Tailor of Panama,109,18000000,213,6.1,13491653
The Wash,93,4000000,38,4.6,10097096
The Wedding Planner,103,35000000,229,5.2,60400856
Thir13en Ghosts,91,20000000,478,5.5,41867960
